ANO,MES,CONGLOME,VIVIENDA,HOGAR,UBIGEO,DOMINIO,ESTRATO,CODINFOR,P801_1,P801_2,P801_3,P801_4,P801_5,P801_6,P801_7,P801_8,P801_9,P801_10,P801_11,P801_12,P801_13,P801_14,P801_15,P801_16,P801_17,P801_20,P801_18,P801_19,P806,TICUEST01,FACTOR07,NCONGLOME,SUB_CONGLOME
2022,01,006230,082,11,080901,7,4,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,6,2,6.9476113319397,037008,00
2022,01,006230,106,11,080901,7,4,02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,5,2,6.9476113319397,037008,00
2022,01,006374,026,11,090118,5,4,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,7,2,240.327102661133,033222,00
2022,01,006374,072,11,090118,5,4,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,5,2,240.327102661133,033222,00
2022,01,006374,086,11,090118,5,4,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,5,2,240.327102661133,033222,00
2022,01,006374,102,11,090118,5,4,02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,5,2,240.327102661133,033222,00
2022,01,006483,003,11,090306,5,7,01,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,16,0,0,0,0, ,2,150.402160644531,033493,00
2022,01,006483,017,11,090306,5,7,02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0, ,2,150.402160644531,033493,00
2022,01,006483,025,11,090306,5,7,02,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,16,0,0,0,0, ,2,150.402160644531,033493,00
2022,01,006483,027,11,090306,5,7,02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0, ,2,150.402160644531,033493,00
2022,01,006483,274,11,090306,5,7,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0, ,2,150.402160644531,033493,00
2022,01,006483,276,11,090306,5,7,02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0, ,2,150.402160644531,033493,00
2022,01,006483,297,11,090306,5,7,02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0, ,2,150.402160644531,033493,00
2022,01,006483,304,11,090306,5,7,01,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,16,0,0,0,0, ,2,150.402160644531,033493,00
2022,01,006571,069,11,100402,5,7,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,8,2,235.837509155273,014002,00
2022,01,006571,071,11,100402,5,7,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0, ,2,235.837509155273,014002,00
2022,01,006571,153,11,100402,5,7,02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0, ,2,235.837509155273,014002,00
2022,01,006571,159,11,100402,5,7,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0, ,2,235.837509155273,014002,00
2022,01,006571,160,11,100402,5,7,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0, ,2,235.837509155273,014002,00
2022,01,006571,174,11,100402,5,7,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0, ,2,235.837509155273,014002,00
2022,01,006571,176,11,100402,5,7,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0, ,2,235.837509155273,014002,00
2022,01,006571,177,11,100402,5,7,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0, ,2,235.837509155273,014002,00
2022,01,006769,020,11,110201,2,2,02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,7,2,246.15657043457,033804,00
2022,01,006769,064,11,110201,2,2,00,99, , , , , , , , , , , , , , , , , , , , ,2,246.15657043457,033804,00
2022,01,006769,086,11,110201,2,2,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,7,2,246.15657043457,033804,00
2022,01,006769,128,11,110201,2,2,02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,7,2,246.15657043457,033804,00
2022,01,006769,150,11,110201,2,2,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,5,2,246.15657043457,033804,00
2022,01,006769,191,11,110201,2,2,01,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0, ,2,246.15657043457,033804,00
2022,01,006807,026,11,110503,2,5,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,7,2,118.266555786133,034127,00
2022,01,006807,039,11,110503,2,5,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,5,2,118.266555786133,034127,00
2022,01,006807,053,11,110503,2,5,02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,7,2,118.266555786133,034127,00
2022,01,006807,079,11,110503,2,5,02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,7,2,118.266555786133,034127,00
2022,01,006807,092,11,110503,2,5,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,5,2,118.266555786133,034127,00
